course_number|course_subject|course_name|course_desc|course_link
6381|COMP|Digital Geometric Modelling| This course introduces the digital geometry modelling pipeline focusing on fundamental data structures and algorithms for digital representation and processing of 3D geometry.  Students  study a wide range of applications and solutions in computer-aided design, engineering, architecture reverse engineering, and medical applications. As triangle meshes are by far the most popular representation for 3D geometry, this course focuses on triangle mesh representations and data structures that enable the programmer to efficiently query and edit geometry. In addition, the course covers spline modelling: Hermite splines, Bezier splines, and B-Splines. A project is required.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6711|COMP|Computational Geometry| Efficient algorithms and data structures to solve geometric problems. Problems discussed include convex hulls, line intersections, polygon triangulation, point location, range searching, Voronoi diagrams, Delaunay triangulations, interval trees and segment trees, arrangements, robot motion planning, binary space partitions, quadtrees, and visitility. Algorithmic methods include plane sweep, incremental insertion, randomization, divide and conquer. Emphasis will be given to computation and complexity, with applications in computer graphics, computer aided design, geographic information systems, networks, mesh generation, databases, and robot motion planning. A project is required.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6731|COMP|Pattern Recognition (*)| Pre-processing. Feature extraction and selection. Similarity between patterns and distance measurements. Syntactic and statistical approaches. Clustering analysis. Bayesian decision theory and discriminant functions. Clustering and classification techniques. Applications. A project is required. Laboratory: two hours per week.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6761|COMP|Advanced 3D Graphics for Game Programming| Fundamental algorithms, techniques, and software engineering principles for 3D graphics. Introduction to real-time graphics application architecture; review of basic 3D concepts of modelling, viewing, and rendering. 3D graphics functions, pipeline, and performance. Hierarchical 3D graphics. Algorithms for occlusion culling, collision detection, photorealism, shadows, and textures. Current trends and state-of-the-art graphics and physics algorithms. Laboratory: Two hours per week.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6771|COMP|Image Processing (*)| Digital image fundamentals; image enhancement: histogram processing, filtering in the spatial domain, filtering in the frequency domain; image restoration and reconstruction; image segmentation: line detection, Hough transform, edge detection and linking, thresholding, region splitting and merging; image compression; introduction to wavelet transform and multi-resolution processing. A project is required. Laboratory: two hours per week.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
7661|COMP|Advanced Rendering and Animation|Prerequisite: COMP 6761. Advanced concepts in rendering and animation with emphasis on computational techniques for synthesizing complex realistic images, both static and dynamic. Topics include: overview of computer graphics techniques in games, cinema, and engineering; realistic rendering methods in real time; animation techniques including physics-based animation. A project is required.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
7751|COMP|Advanced Pattern Recognition|Prerequisite: COMP 6731. Pattern recognition principles; modern methods in digitization and data acquisition; advanced topics in feature extraction and selection; principal component analysis and clustering techniques; multiple classifiers and expert systems; advanced topics in neural networks in pattern recognition, performance evaluation and error reduction. Applications. A project is required.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
7781|COMP|Advanced Image Processing|Prerequisite: COMP 6771 or permission of instructor. Digital image processing; segmentation morphological processing; wavelet transforms and multi-resolution analysis; partial differential equation approach; variational methods; diffusion and shock filters; Markov random field and Bayesian inference; energy minimization framework: snakes, active contours, Mumford-Shah model, level set method; numerical implementation; applications; image inpainting; registration; and document processing. A project is required.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6411|COMP|Comparative Study of Programming Languages|Comparison of several high-level programming languages with respect to application areas, design, efficiency, and ease of use. The selected languages will demonstrate programming paradigms such as functional, logical, and scripting. Static and dynamic typing. Compilation and interpretation. Advanced implementation techniques. A project is required.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6421|COMP|Compiler Design (*)| Compiler organization and implementation: lexical analysis and parsing, syntax-directed translation, code optimization. Run-time systems. A project is required.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6461|COMP|Computer Networks and Protocols| Direct link networks: encoding, framing, error detection, flow control, example networks. Packet switching and forwarding: bridges, switches. Internetworking: Internet Protocol, routing, addressing, IPv6, multicasting, mobile IP. End-to-end protocols: UDP, TCP. Network security concepts. Application-level protocols. Laboratory: two hours per week.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
7451|COMP|Semantics of Programming Languages|Prerequisite: COMP 6411. The need for semantic descriptions of programming languages. Classification of semantics: operational, axiomatic, model-theoretic, algebraic, denotational. Classification of languages: procedural, functional, logic, equational. Applications: verification, construction, language design, temporal logic for distributed systems, semantics for advanced languages.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6521|COMP|Advanced Database Technology and Applications| Review of standard relational databases, query languages. Query processing and optimization. Parallel and distributed databases. Information integration. Data warehouse systems. Data mining and OLAP. Web databases and XML Active and logical databases, spatial and multimedia data management. Laboratory: Two hours per week.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6591|COMP|Introduction to Knowledge-Base Systems| Review of first-order logic, relational algebra, and relational calculus. Fundamentals of logic programming. Logic for knowledge representation. Architecture of a knowledge-base system. Fundamentals of deductive databases. Top-down and bottom-up query processing. Some important query processing strategies and their comparison. Project or term paper on current research topics.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6811|COMP|Bioinformatics Algorithms| The principal objectives of the course are to cover the major algorithms used in bioinformatics; sequence alignment, multiple sequence alignment, phylogeny; classifying patterns in sequences; secondary structure prediction; 3D structure prediction; analysis of gene expression data. This includes dynamic programming, machine learning, simulated annealing, and clustering algorithms. Algorithmic principles will be emphasized. A project is required.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6821|COMP|Bioinformatics Databases and Systems| The principal objectives of the course are to survey the needs of bioinformatics for data management, knowledge management, and computational support; to provide in-depth description of an example of each kind of database and system; and to introduce advanced database technology and software technology relevant to the needs of bioinformatics. A project is required.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
7531|COMP|Database Systems Principles|Prerequisite: COMP 6521. Database models. Algebraic, logical, and deductive database languages. Query equivalence and optimization. Query rewriting, information integration and data exchange. Incomplete information and complex values. Introduction to current research topics. A project is required.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6351|COMP|Topics in Scientific Computation| Selected elements of numerical methods that are central to scientific computation. The precise contents of the course may differ somewhat from one offering to the next, but will include the following topics: An introduction to the numerical solution of nonlinear equations, continuation methods, numerical solution of initial value problems in ordinary differential equations, finite difference method, numerical stability theory, stiff equations, boundary value problems in ordinary differential equations, collocation methods, introduction to the numerical solution of partial differential equations, with emphasis on nonlinear diffusion problems. A project is required.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6361|COMP|Numerical Analysis of Nonlinear Equations| An introduction to numerical algorithms for nonlinear equations, including discrete as well as continuous systems. The emphasis is on computer-aided numerical analysis rather than numerical simulation. This course is suitable for scientists and engineers with a practical interest in nonlinear phenomena. Topics include computational aspects of: homotopy and continuation methods, fixed points and stationary solutions, asymptotic stability, bifurcations, periodic solutions, transition to chaos, conservative systems, travelling wave solutions, discretization techniques. A variety of applications will be considered. Numerical software packages will be available. A project is required.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6621|COMP|Discrete Mathematics of Paul Erdös| Introduction to the methods and proof techniques of Paul Erdös that are particularly applicable to Computer Science. Proof of Bertrand’s postulate. The Erdös-Szekeres and the de Bruijn-Erdös theorems. Ramsey’s theorem and Ramsey numbers. Van der Waerden’s theorem and Van der Waerden numbers. Delta-systems and a proof of the Erdös-Lovász conjecture. The Erdös-Ko-Rado theorem. Extremal graph theory. Random graphs and graph colouring. The probabilistic method and its applications in theoretical Computer Science. A project is required.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6641|COMP|Theory of Computation| General properties of algorithmic computations. Turing machines, universal Turing machines. Turing computable functions as a standard family of algorithms. Primitive recursive functions. Church’s thesis, recursive sets. Recursively enumerable sets and their properties. Rice’s theorem. Time and space complexity measures. Hierarchy of complexity measures. Advanced topics in complexity theory. A project is required.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6651|COMP|Algorithm Design Techniques| Mathematical preliminaries; Empirical and theoretical measures of algorithm efficiencies; Optimization and combinatorial techniques and algorithms including greedy algorithms, dynamic programming, branch-and-bound techniques and graph network algorithms; Amortized complexity analysis; String matching algorithms; NP-complete problems and approximate solutions; Probabilistic algorithms. A project is required.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6661|COMP|Combinatorial Algorithms| Representation and generation of combinatorial objects; search techniques; counting and estimation. Projects on selected applications from combinatorics and graph theory.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
7521|COMP|Cryptography and Data Security|Prerequisite: COMP 6651. Traditional cryptography. Information theory. Private-key (symmetric-key) and public-key (asymmetric-key) cryptographic algorithms. Advanced Encryption Standard (Rijndael). Cryptographic hash functions. Digital signatures. Data-origin authentication and data integrity. Entity authentication. Key distribution, management, recovery, and exhaustion. Authentication protocols. Security services (confidentiality, authentication, integrity, access control, non-repudiation, and availability) and mechanisms (encryption, data-integrity mechanisms, digital signatures, keyed hashes, access-control mechanisms, challenge-response authentication, traffic padding, and routing control). Projects will be offered in selected topics in cryptography.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
7651|COMP|Advanced Analysis of Algorithms|Prerequisite: COMP 6651. Amortized analysis of algorithms, NP-hardness and approximation algorithms, online algorithms, randomized algorithms. Selected topics of current interest. Project or term paper.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6531|COMP|Foundations of the Semantic Web| Web markup languages, World Wide Web Consortium (W3C) standards, Extensible Markup Language (XML) Resource Description Framework (RDF), schema for markup languages, Semantic Web, ontology development, markup languages for ontologies, Web Ontology Language (OWL), logical foundations of ontologies, description logics, reasoning with ontologies. A project is required.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6721|COMP|Applied Artificial Intelligence|The course covers heuristic and adversarial searches for concrete applications. It then discusses automated reasoning, advanced knowledge representation and dealing with uncertainly for Artificial Intelligence applications. Finally, it introduces autoencoders, recurrent neural networks and sequence to sequence models. A project is required. Laboratory: two hours per week.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6741|COMP|Intelligent Systems (*)| Knowledge representation and reasoning. Uncertainty and conflict resolution. Design of intelligent systems. Grammar-based, rule-based, and blackboard architectures. A project is required. Laboratory: two hours per week.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6751|COMP|Natural Language Analysis| Introduction to natural language processing. Structure of English. Grammars and parsing. Lexical and compositional semantics. Pragmatic issues. Applications in text mining and information extraction. A project is required.Note: Students who have received credit for COMP 7741 before September 2011 may not take this course for credit.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6781|COMP|Statistical Natural Language Processing| The course covers robust methods to natural language processing (NLP) and their applications to manipulate large text collections. Topics covered in this course include: Zipf’s law, information retrieval, statistical machine translation, N-gram language models and smoothing techniques, word sense disambiguation, part-of-speech tagging and probabilistic grammars and parsing. A project is required.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6791|COMP|Information Retrieval and Web Search (*)| Basics of information retrieval (IR): Boolean, vector space and probabilistic models. Tokenization and creation of inverted files. Weighting schemes. Evaluation of IR systems: precision, recall, E-measure. Relevance feedback and query expansion. Application of IR to Web search engines: XML, link analysis, PageRank algorithm. Text categorization and clustering techniques as used in spam filtering. A project is required. Laboratory: two hours per week.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
691|SOEN|Topics in Software Engineering I| Subject matter will vary from term to term and from year to year. Students may re-register for this course, providing that the course content has changed. Changes in content will be indicated by the letter following the course number, e.g. SOEN 691A, SOEN 691B, etc.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
791|SOEN|Topics in Software Engineering II| Subject matter will vary from term to term and from year to year. Students may re-register for this course, providing that the course content has changed. Changes in content will be indicated by the letter following the course number, e.g. SOEN 791A, SOEN 791B, etc.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6441|SOEN|Advanced Programming Practices| Problems of writing and managing code. Managing code complexity and quality through a programming process. Self-documenting code, and documentation generation. Software configuration management. Best practices for writing unit tests to control code quality. Advanced practices such as multi-threading concurrency, code reuse, and fault tolerance. A project is required. Laboratory: two hours per week.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6751|SOEN|Human Computer Interface Design| Introduction to human computer interaction. User-centered design process. User modelling. Task analysis. User interface design knowledge (principles, guidelines and patterns). User interface prototyping. User interface evaluation. A project is required. Laboratory: two hours per week.Note: Note: Students who have received credit for COMP 6751 before September 2011 may not take this course for credit.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
7761|SOEN|Intelligent User Interfaces|Prerequisite: SOEN 6751. Intelligent systems and intelligent interfaces. A brief introduction to knowledge representation and reasoning. Creation and adaptation of user models. Software agents at the user interface. Applications of these concepts in the development of intelligent user interfaces. Adaptive user interfaces. Selected advanced topics, such as natural language interfaces, speech based user interfaces, and mobile user interfaces. Laboratory: two hours per week. A project is required.Note: Students who have received credit for COMP 7761 before September 2011 may not take this course for credit.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6311|SOEN|Formal Methods| Components of formal systems: formal methods; levels of formalism. Integrating formal methods into the existing software life-cycle process model for a given project. Attributes of a formal specification language. Formal notations based on extended finite-state machines; case studies involving the design of user interfaces, reactive systems, and concurrent systems. Software development using formal methods, including tools for: type checking; debugging; verifying checkable properties; validation of refinements; and code generation from refinements. A project is required.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6461|SOEN|Software Design Methodologies| Introduction to software design processes and their models. Representations of design/architecture. Software architectures and design plans. Design methods, object-oriented application frameworks, design patterns, design quality and assurance, coupling and cohesion measurements, design verification and documentation. A design project.Note: Students who have received credit for COMP 6471 before September 2011 may not take this course for credit.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6471|SOEN|Advanced Software Architectures| Study of architectural view models, architectural styles and frameworks; Architectural case studies and extraction of concrete architecture; Architectural design patterns; Model Driven Architecture (MDA), Service Oriented Architecture (SOA). Domain specific architectures such as mobile and cloud computing. A project is required.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6481|SOEN|Software Systems Requirements Specification| The requirements engineering (RE) process. Requirements engineering in different software lifecycle models. Problem analysis. Requirements elicitation. Requirements evaluation. Inconsistency management. Risk analysis. Requirements prioritization and negotiation. Requirements specification: natural language documentation, IEEE and ISO standards. Use cases. Agile processes and user stories. Introduction to formal specification: logics, formal languages. Requirements quality assurance. RE tools. Requirements evolution. Traceability. Domain modelling: UML, ontologies, domain-specific languages. Modelling behaviour. Acceptance criteria. Test cases. Cost models. A project is required.Note: Students who have received credit for COMP 6481 may not take this course for credit.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6861|SOEN|Services Computing: Foundations, Design and Implementations| System design with Service Oriented Architecture. Open standards for Web services. Development of SOAP (Service-Oriented Architecture and Programming) and RESTful (REpresentational State Transfer) services. Business process modelling and management. Service composition. Formal models for services. A project is required.Note: Students who have received credit for SOEN 691A (Services Computing: Foundations, Design and Implementations) may not take this course for credit.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6431|SOEN|Software Comprehension and Maintenance| The course addresses both technical and managerial views of software comprehension and software maintenance issues. Topics covered in this course include: cognitive models, software visualization, CASE tools, reverse engineering, static and dynamic source code analysis, software configuration management, and introduction to current research topics in software maintenance and program comprehension. A project is required.Note: Students who have received credit for COMP 6431 may not take this course for credit.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6491|SOEN|Software Refactoring|Prerequisite: SOEN 6461. Topics include an introduction to preventive maintenance, design problems, and refactorings; techniques for the detection of design problems and refactoring opportunities; management of preventive maintenance: visualization, prioritization, ranking, and evolution tracking of design problems; empirical studies on refactoring activities and practices; implementation of source code analysis techniques and refactorings. A project is required.Note: Students who have received credit for SOEN 691C (Software Refactoring) may not take this course for credit.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6611|SOEN|Software Measurement| Role of measurement in Software Engineering, theoretical, technical and managerial views on software measurement. Representational theory of measurement. Theoretical validation of software measurement. Goal-driven measurement. Collecting and analyzing software engineering data. Software quality modelling and measuring. Testing and measurement. Reliability models. Functional size measurement methods. Effort estimation models and their usage in project management. Software measurement standards. Tool support. Case studies. A project is required.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
7481|SOEN|Software Verification and Testing|Prerequisites: SOEN 6461, SOEN 6481. Overview of current software engineering testing methods, techniques and standards for testing system implementations. Classical white-box testing; dataflow testing; classical black-box testing; integration testing; system testing. Testing measures; test plan. IEEE standard. Object-oriented testing. Test-driven development. Testing quality measures. Test reduction techniques. Techniques for test automation. Tools and techniques for formal verification of software system designs: model checking and theorem proving. A project is required.Note: Students who have received credit for COMP 7481 may not take this course for credit.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6011|SOEN|Software Engineering Processes| Introduction to software engineering concepts, modern management processes and software lifecycles. Tracking of software requirements and development through issue trackers. Version control practices include integration of feature branching. Validation practices including testing frameworks and code review. Continuous integration and build environments. A practical component on setting up a development environment similar to those used in professional environments. Case studies of successful management processes from open source projects and industry. A project is required.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6021|SOEN|Software Re-engineering|Prerequisite: SOEN 6461 or permission of the instructor. This course introduces software re-engineering, software architecture recovery and reconstruction, and reflexion models. Students use development history to support reengineering, and are exposed to the latest empirical studies on software reengineering and software metrics applied to software re-engineering. Also, students learn how to apply various software re-engineering patterns and software migration strategies. A project is required.Note: Students who have received credit for SOEN 691 (Software Re-engineering) may not take this course for credit.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6841|SOEN|Software Project Management| Fundamental concepts of management activities, demonstrating how it can relate to software engineering and how the two can be mutually supportive throughout software development and maintenance. Overview of object-oriented development; software development processes; quality considerations; activity planning; risk management; monitoring and control; maintenance and evolution; issues of professional ethics and practice, and legal issues. A project is required.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6761|SOEN|Multimedia Computing| This course covers the state-of-the-art technology for multimedia computing. The course topics will cover current media types, images, video, audio, graphics and 3D models in terms of algorithms and data structures for their capture, representation, creation, storage, archival, transmission, assembling, presentation and retrieval. This course will cover fundamental ideas in multimedia technology applicable to computer science and software engineering. A project is required.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6951|SOEN|Software Engineering Case Study| Students will complete a case study of a software project. Whenever possible, the project should be conducted in an industrial environment with the cooperation of the student’s employer.Note: Students who have received credit for SOEN 6971 or COMP 6971 may not take this course for credit.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6211|SOEN|Semantic Computing| System analysis, architecture, and engineering for semantic software products. Text Mining systems and their architectures. Tagging and Tag Analysis. Recommender Systems and Collaborative Filtering. Crawling the Blogosphere and Opinion Mining. Applying Clustering, Machine Learning, Classification, and Regression. The Web of Data and Semantic Web Technologies: RDF, RDFS, SPARQL. Linked Open Data (LOD). Design and Re-Use of Semantic Web Vocabularies and Ontologies. Semantic Desktops and Semantic Web Information Systems. Semantic Application Development. Application case studies in biomedical research, software development, business intelligence, online gaming, e-commerce and e-science. Research paper seminar. Empirical evaluation methodologies for semantic systems. A project is required.Note: Students who have received credit for this topic under a SOEN 691B number may not take this course for credit.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6941|SOEN|Software Engineering Research Project|No Description|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6961|COMP|Graduate Seminar in Computer Science (1 credit)| Students will have to attend a selected set of departmental seminars and submit a comprehensive report on the topics presented in one of the seminars. This course is graded on a pass/fail basis.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6971|COMP|Project and Report (4 credits)|Prerequisite: Completion of 16 credits; a CGPA of 3.40 or greater; permission of the Department. See Requirements for the Master of/Magisteriate in Applied Computer Science (MApCompSc) section. Project: 8 hours per week.Note: Students who have received credit for SOEN 6951 or SOEN 6971 may not take this course for credit.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6971|SOEN|Project and Report (4 credits)|Prerequisite: Completion of 16 credits; a CGPA of 3.40 or greater; permission of the Department. See Requirements for the Degree of Master of/Magisteriate in Applied Computer Science (MApCompSc) section. Project: 8 hours per week.Note: Students who have received credit for COMP 6971 or SOEN 6951 may not take this course for credit.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
7941|COMP|Master’s Research and Thesis (29 credits)| Students are required to submit a thesis prepared under the guidance of a faculty member appointed by the GCS Graduate Studies Committee. The thesis must represent the result of the student’s independent work undertaken after admission to the program. The thesis will be evaluated by a committee appointed by the GCS Graduate Studies Committee.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6931|ENCS|Industrial Stage and Training (9 credits)|No Description|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
7941|SOEN|Master’s Research and Thesis (29 credits)| Students are required to submit a thesis prepared under the guidance of a faculty member appointed by the GCS Graduate Studies Committee. The thesis must represent the result of the student’s independent work undertaken after admission to the program. The thesis will be evaluated by a committee appointed by the GCS Graduate Studies Committee.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
6501|SOEN|Programming Competency Test|See Requirements for the Master of/Magisteriate in Applied Computer Science (MApCompSc) or Master of/Magisteriate in Engineering (Software Engineering) sections.|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
8011|ENCS|PhD Seminar (2 credits)|No Description|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
8511|ENCS|Doctoral Research Proposal (6 credits)|No Description|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
8901|COMP|Doctoral Research and Thesis (70 credits)|No Description|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
8901|SOEN|Doctoral Research and Thesis (70 credits)|No Description|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
8501|ENCS|Comprehensive Examination|No Description|http://www.concordia.ca/academics/graduate/calendar/current/encs/computer-science-courses.html#course-descriptions
